instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7359,CN,app_26,48,48,0,0,1,1,300.0,300.0,384.0,480.0,-1,27458.0,27459.0,34491.0,7033.0
instance_7361,CN,app_13,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,28774.0,28774.0,46526.0,17752.0
instance_7362,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,30320.000000000004,30320.000000000004,63989.00000000001,33669.0
instance_7364,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,30546.000000000004,30546.000000000004,119120.0,88574.0
instance_7365,CN,app_50,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,30899.000000000004,30899.000000000004,31272.000000000004,373.0
instance_7367,CN,app_20,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,31233.000000000004,31233.000000000004,38146.0,6912.999999999996
instance_7368,CN,app_22,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,31233.000000000004,31276.000000000004,38449.0,7215.999999999996
instance_7369,CN,app_26,48,48,0,0,1,1,300.0,300.0,408.0,480.0,-1,31233.000000000004,31277.000000000004,130869.0,99636.0
instance_7370,CN,app_91,64,64,0,0,1,1,320.0,320.0,680.0,800.0,-1,31233.000000000004,31233.000000000004,176525.0,145292.0
instance_7371,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,31233.000000000004,31233.000000000004,184732.0,153499.0
instance_7373,CN,app_50,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,31285.000000000004,31285.000000000004,32395.000000000004,1110.0
instance_7374,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,31432.000000000004,31432.000000000004,271656.0,240224.0
instance_7376,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,31436.000000000004,31436.000000000004,88993.0,57557.0
instance_7377,CN,app_27,64,64,0,0,1,1,320.0,320.0,384.0,480.0,-1,31436.000000000004,31436.000000000004,90183.0,58747.0
instance_7378,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,32062.000000000004,32062.000000000004,1785398.0,1753336.0
instance_7379,HN,app_62,8,8,1,1,25,25,40.0,40.0,200.0,200.0,2,32361.000000000004,32362.000000000004,98585.0,66224.0
instance_7380,HN,app_23,8,8,1,1,25,25,40.0,40.0,100.0,100.0,4,32361.000000000004,32496.000000000004,337459.0,305098.0
